Where can I see The Prime Ministers: The Pioneers  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Look for the District 9 novel  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Can you find the movie Accidentally in Love  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
rate the book English Grammar In Use a five  [predicted:  BookRestaurant ; correct:  RateBook ]
What will be the wind speed around Pembina Gorge State Recreation Area October the 27th?  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
The book Choper, Coffee, Gilson should get a zero  [predicted:  BookRestaurant ; correct:  RateBook ]
Find the book Bad Day on the Block  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Will there be a snowstorm in NC 6 years from now  [predicted:  RateBook ; correct:  GetWeather ]
Look for the movie Darkness Come Alive  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Play The Crowd: A Study of the Popular Mind soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want to book the best pub for 6 in New Mexico  [predicted:  RateBook ; correct:  BookRestaurant ]
play The Sea Cabinet  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Please get seating for me and my children  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Can you get me the Growing Artichokes in Mimongo movie?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Give me an album from 1972 to listen to.  [predicted:  RateBook ; correct:  PlayMusic ]
I want to listen to Merrily We Roll Along by Marko Desantis.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Start playing my Disney playlist.  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
Plaly The Ladybug Transistor by Loreena Mckennitt.  [predicted:  GetWeather ; correct:  PlayMusic ]
I want the song Phrazes for the Young  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Please add james house to bleeps & bloops  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
Go to After Dusk They Come  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Find a pub for me in FM  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Can you find me the Children of Jerusalem: Yehuda movie?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Where can I purchase Papers in Regional Science, the album?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Wish to hear the album Since I Saw You Last  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play song Softly  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Book a restaurant on June the fifth in Cavour.  [predicted:  BookRestaurant ; correct:  GetWeather ]
Look for the novel Behind closed doors  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Will you pull up my Jueves de Antaño playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Can you get me the Maldeamores saga?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I want to listen to the song Shamus  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Where does The Return of the Whistler play at the Bow Tie Cinemas at 03:01:48 A.M.  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
Find a movie called No. 1 In Heaven.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Where can I get the album So Fresh: The Hits of Spring 2011  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
Find me showtimes for How I Unleashed World War II.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
How snowy will it be in this current place on Feb. first, 2034?  [predicted:  RateBook ; correct:  GetWeather ]
I am looking for Shoot Me Down  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Lets take me, cherry and tracie to a Noyack bar  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
I want to the latest ballad from Ira Losco  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
An interesting piece from 1991 please  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Is it cold in the current location more than it was in 3 years  [predicted:  RateBook ; correct:  GetWeather ]
I'd like to see Completely Well  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Play The Aviation Cocktail album  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
play Print the Legend soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Need to see Mother Joan of the Angels in one second.  [predicted:  BookRestaurant ; correct:  SearchScreeningEvent ]
find the movie You Must First Learn to Draw the Real  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Where is Journal of Geriatric Psychiatry and Neurology  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Plan an album by Roni Duani.  [predicted:  GetWeather ; correct:  PlayMusic ]
Pull up Mafia: The City of Lost Heaven  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Find Fish Story  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Can you get seating for 1 person at a cafeteria in Pauls Crossroads  [predicted:  GetWeather ; correct:  BookRestaurant ]
Add The Block Brochure Welcome to the Soil 6 onto my Café con Leche list  [predicted:  RateBook ; correct:  AddToPlaylist ]
Please open pandora for me  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
When was the album Start a Fire released?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
play the song S.F. sound furniture  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Will there be a blizzard at 2 am in my current place  [predicted:  RateBook ; correct:  GetWeather ]
Lets go to the Rainforest Cafe that is in the same area as 135th St  [predicted:  SearchScreeningEvent ; correct:  BookRestaurant ]
Start up my nostalgic playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I'd give The Cricket in Times Square 3 stars  [predicted:  SearchScreeningEvent ; correct:  RateBook ]
Can you find me the movie The Countess?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Where can I watch Portrait of a Woman, Nude in 1 hour?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Find the movie Girl on the Trapeze  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I'd like to see Sex Tape - Finiti in rete  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
play The Catholic Sun album  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
add repent replenish repeat to Classical Moments in Movies  [predicted:  SearchScreeningEvent ; correct:  AddToPlaylist ]
Find me the movie with the title of Twitches  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Look up The Collection Volume One novel  [predicted:  RateBook ; correct:  SearchCreativeWork ]
Where can I see Travelling Light?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Will there be sun at four PM at Runkaus Strict Nature Reserve  [predicted:  RateBook ; correct:  GetWeather ]
Show me Interesting Times: The Secret of My Success  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I want to go see The Trouble with Girls  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
read the novel Friend: The Great Legacy  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
find movie titled Triumph of the Spirit  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Where can I watch Hank Williams: The Show He Never Gave?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Find a top fifty zahir howaida concerto from the seventies  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Play the soundtrack for The Lord of the Rings: Conquest  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Can I buy the book Vacation of Petrov and Vasechkin online?  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
where can I watch Mabel’s Dramatic Career at twenty two o'clock  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I want to listen to my Spain Top 50 playlist on groove shark  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
where can i watch Key to the City  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play some diva house.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
fimd Glory  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Search for The Sound of One Hand Clapping  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find Brandy in the Wilderness  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Please look up the Around the World in Eighty Days movie.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Can You tell me the Actors of the saga awards/  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Let me listen to Rouhollah Khaleghi on deezer.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Open Netflix and find a movie with the song heartful  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Can you find me the Stand Proud book?  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
find The Panic in Needle Park  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Find The Press of Atlantic City movie  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I'd like to listen to opera on Youtube  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
When does Of Stars and Men play?  [predicted:  RateBook ; correct:  SearchScreeningEvent ]
find Mary Kom starting in one hour  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Find me the book with the title of The Rainwater LP  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Open the playlist from Sergei Chatschatrjan  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
At meal time while I'm here will it be hot?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Where to get painting of Channel 4 News  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
include pat smear on Guest List Engadget  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
book for six for 1 hour and 1 minute from now  [predicted:  RateBook ; correct:  BookRestaurant ]
Play the Food Uncut soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find the novel Meg and Seron  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Is there a storm in New Mexico in Fort Sumner  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Put any 1972 record on.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I want to eat mezes at the pub for 1 at four PM  [predicted:  RateBook ; correct:  BookRestaurant ]
what is the 7 day for Cheat Canyon Wildlife Management Area  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
Where can I locate Leo the Lion for purchase  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Look up The Baltic Times picture  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Create a theme station with Jim Creeggan records and collabs  [predicted:  GetWeather ; correct:  PlayMusic ]
Will it be cloudy one hour from now in my current position  [predicted:  RateBook ; correct:  GetWeather ]
play the album The Outpost  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Please add Pop Punk Powerhouses by Valeri Leontjev to my play list  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
I want to listen to Born On The Bayou on Iheart  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Start up my Pachangueo Total playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
SCORE:  2979 / 3140  ( 0.9487261146496815 )
Where can I find the movie The National Law Review  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Can i see the Boat People?  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Play Disco Tango to Power Walk  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Can you get me seating for 5 people 1 minute from now in Tuvalu  [predicted:  RateBook ; correct:  BookRestaurant ]
Ply best 1973 sound track  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I'd like to listen to iheart radio's chill out playlist please.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Find a table for five at Harveys in De Berry ID on April the 10th  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Include golden boy in Pop Dance  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
I would like to hear a song by Tim Reynolds  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Start playing something from Iheart  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
Where can I buy a hardcover copy of the book The Intangibles of Leadership?  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
I wish to hear the playlist Estado de ánimo on Last Fm.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
What is Love in a Mist?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
add Hot House to Have You Met Miss Jones  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
Where is Winterheart’s Guild  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Play Remains of the Day  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I'd like hear the song Sit Down and Talk to Me  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play me the saga The Party’s Over  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I wanna listen to Electroclash  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
find Blood Moon: Year of the Wolf, a movie  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
find To Each His Own Cinema, an album  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Go to the movie The Best of Pirates of the Mississippi  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
can you put on Like A Hurricane by Paul Landers  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Find a coffeehouse in Illinois for three  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Reserve me a resturant for 5 at seventeen o'clock  [predicted:  GetWeather ; correct:  BookRestaurant ]
give me something from the fifties  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
I want to reserve a gastropub that has a spa.  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
I'd like to eat in Montana on 10/22/2030  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Play The Lousy Dance trailer  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Do you have something like Impossible Is Nothing by Abderrahmane Abdelli?  [predicted:  GetWeather ; correct:  PlayMusic ]
Look up Three Fantastic Dances  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
What will it feel like on patriot's day on South Georgia and the South Sandwich Islands  [predicted:  BookRestaurant ; correct:  GetWeather ]
Play the soundtrack for Back to the Future  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play Man Like Me by heather b.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
