Whens the next showing of The Game of Their Lives  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Will there be snowfall at the current location at 3 o'clock?  [predicted:  RateBook ; correct:  GetWeather ]
play the What I Need to Do soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
add house afterwork to my the cave canem demos  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
will it get chillier within walking distance of PW  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
I want to see showings for The Voice of Merrill at my cinema.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Will it get colder by 11 in Jacobsburg. Syria?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Play the next ep by Video Game Pianist on netflix  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Find time for Trouble for Two in one minute at Landmark Theatres  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Play music from Art Porter Junior movie sound track using Vimeo  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Rate All That Remains a five  [predicted:  GetWeather ; correct:  RateBook ]
rate Mandela: The Authorised Biography a one  [predicted:  GetWeather ; correct:  RateBook ]
I'd like to watch The Utopian Society  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Lets go eat in Friday 43 days from now  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
what is the twenty one o'clock forecast for the current spot  [predicted:  RateBook ; correct:  GetWeather ]
What time will Paris by Night aired  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to eat at a bakery with deidre and rosa in Jersey.  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
I want to listen to the album Magical Girl Lyrical Nanoha StrikerS  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
Find me Third Man on the Mountain at a cinema  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to see the book, The Mailroom: Hollywood History from the Bottom Up  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Show the forecast for Tanintharyi Nature Reserve  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
is Transcending Fear at Malco Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What time is I Know That You Know That I Know lpaying  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like to watch Sherlock Holmes à New York at KB Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Lets hear some Dawood Sarkhosh from their The Power Of Your Love album from Groove Shark  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Find the schedule for The Pearl of Cleopatra.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play the album Will Rap Over Hard Rock For Food  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
When and where is Invitation to the Waltz playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Go to the saga The Quantum Thief  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
mark this album a score of 5  [predicted:  GetWeather ; correct:  RateBook ]
book a churrascaria in Macao on May the twenty-third  [predicted:  GetWeather ; correct:  BookRestaurant ]
I need to hear the new Kevin Fowler album  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
where is Wild America showing at zero P.M.  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Find me a nice restaurant in Mulvane.  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
add the man who never lied to my current comedy top tracks  [predicted:  RateBook ; correct:  AddToPlaylist ]
Will it get chillier in Las Lomas, British Virgin Islands on Nov. the 21st?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Find the novel What We Did on Our Holiday  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Find Captain Kronos - Vampire Hunter.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
i want to see Return to Yesterday  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Rate Deception a one  [predicted:  GetWeather ; correct:  RateBook ]
Will it be hotter at my current place at 02:22:32 pm  [predicted:  RateBook ; correct:  GetWeather ]
Locate a bakery in Rockport, Federated States Of Micronesia that serves olives  [predicted:  GetWeather ; correct:  BookRestaurant ]
What is the song The Beast from 20?  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find the movie Chaos Is Me  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I'd like to see The River of Stars TV series  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Book the Slippery Noodle Inn in Gober.  [predicted:  GetWeather ; correct:  BookRestaurant ]
Is it supposed to be colder at lunch time in Schuyler, Venezuela?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Will it get chillier in Furano-Ashibetsu Prefectural Natural Park?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
When will The Flower and the Angry Waves be showing?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play the best songs of 2016  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Can this song get added to lunchtime?  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
What time is 楽園追放 -Expelled from Paradise-  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
What time is The Count playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
In seven hours from now will it rain at my current place  [predicted:  RateBook ; correct:  GetWeather ]
will it be warm within walking distance of Saint Pierre and Miquelon  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
I want to dine in Luray  [predicted:  GetWeather ; correct:  BookRestaurant ]
Search for the Complots  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I want new steps to go on the leche con chocolate list  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
Where can I see the movie Across the Line: The Exodus of Charlie Wright?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Please reserve a spot at Ballachulish House.  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
put this Tripp Eisen song on canta en la ducha  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
I'd like for this song to be added to the new waltz.  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
Show me whether Iceland will be colder than it was last april  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Put Kim Kibum in my the martin garrix show playlist.  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
Can  book a pizzeria that will serve a cupcake?  [predicted:  GetWeather ; correct:  BookRestaurant ]
I want to hear a Joel Hastings melody.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Is it warm in New Jersey in 23 minutes and fourteen seconds  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
find Quiet Night In  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Rate this book a 1  [predicted:  BookRestaurant ; correct:  RateBook ]
Plau me the song The French Chef  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Let me hear the top album by the artist, Skin.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Showtimes for Medal for the General  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
My group of seven wants to eat at Yogurt Mountain in Slick tonight.  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
my té para tres needs Brave and Crazy added on.  [predicted:  GetWeather ; correct:  AddToPlaylist ]
where can i see A Slice of Life  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Add Spanish Harlem Incident to cleaning the house  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
Rate Cotton Comes to Harlem a 2  [predicted:  GetWeather ; correct:  RateBook ]
Want to eat at The Meatball Shop that's within walking distance of erica's campus  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
is Terminal Station at Cinemark Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I would like Ignacio Figueredo's tune added to electroNOW.  [predicted:  GetWeather ; correct:  AddToPlaylist ]
Play the top five melody from 2000  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
play Tales from the Organ Trade  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Rate The Empty Throne a 4  [predicted:  GetWeather ; correct:  RateBook ]
Will there be a blizzard at 2 am in my current place  [predicted:  RateBook ; correct:  GetWeather ]
show weather forecast in AS  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
put Johnny Wakelin  on my té para tres lis  [predicted:  GetWeather ; correct:  AddToPlaylist ]
When is Barbary Coast playing?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Will it be hot in New York on october the 1st, 2026?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Let's hear stuff from Andrew Hewitt.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
play the top five songs by Isaac Hayes  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Include hohenfriedberger marsch to my Novedades Pop list.  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
I'd like to watch Take This Waltz  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play Rap Album One by Gene Vincent.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Play the best songs by Jes Brieden  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
rate Peveril of the Peak a five  [predicted:  GetWeather ; correct:  RateBook ]
Lets go far to The Wolseley in Maine  [predicted:  GetWeather ; correct:  BookRestaurant ]
is The Singing Nun at Regal Entertainment Group  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Play a song off Ian Stuart Donaldson's Nature Nurture album on Itunes  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
will the weather be cloudy at 0 PM at my current position  [predicted:  RateBook ; correct:  GetWeather ]
Find a top fifty zahir howaida concerto from the seventies  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
where is Beyblade: Fierce Battle playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to read the book Between a Rock and a Hard Place  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
play The Widow of Saint-Pierre saga  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Is it humid in Parc national de Killarney  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Will it snow this week in Parc national de Petrified Forest?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Find me showtimes for A Christmas Story starting at eleven o'clock.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
When is We Stick Together Through Thick and Thin playing at ArcLight Hollywood?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
book in OH in Gurabo for velma and gloria  [predicted:  GetWeather ; correct:  BookRestaurant ]
Open Lastfm and start playing whatever  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Ply best 1973 sound track  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Rate The Lie Tree five  [predicted:  GetWeather ; correct:  RateBook ]
Locate the best pub in Apache Junction  [predicted:  GetWeather ; correct:  BookRestaurant ]
Play Still Life 1  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I need a book called Student Demonstration Time  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
is it going to get colder in Parc national marin Mahatma Gandhi  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Rate The Bell Curve a three.  [predicted:  GetWeather ; correct:  RateBook ]
find Fox Theatres with The Caretaker  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Does the forecast show a storm in Maquoketa, NH around July sixth?  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
Please add james house to bleeps & bloops  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
Where to buy Education for Chemical Engineers  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Is it possible to see The Italian Job at Malco Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play a song from my workout playlist on Groove Shark  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
look for the book titled Iranian Journal of Fuzzy Systems  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Buy Cannabis painting  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I want to listen to the album going back to the blue ridge mountains on iheart  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
At meal time while I'm here will it be hot?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Show me a forecast for French Polynesia  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
I'd like to watch Monk Comes Down the Mountain  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
play the album by Paul Barker playing the greatest from 1978  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
What time is In Old New Mexico showing today?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Please put maimi yajima's song onto Operación Bikini.  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
me and my niece want to eat somewhere close by Hopatcong  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Book a restaurant in Three Points  [predicted:  RateBook ; correct:  BookRestaurant ]
I want to take my mom and I to the tea house  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
find Three in the Attic  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find The Colour of the Chameleon  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Wish to hear a concerto by Diplo from 1952  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
What cinema is The Railway Children  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Is it possible to see The Day of the Jackal at Pacific Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find Whosoever Shall Offend at Showcase Cinemas  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
