Find me a soundtrack by Ghost Town Prophecy  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
b'Search The Olympic Champ book.'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'add d-day dodgers to my running power playlist'  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
b'book a molecular gastronomy serving restaurant on march the 20th'  [predicted:  PlayMusic ; correct:  BookRestaurant ]
b'book Tun Tavern for morning in Norfolk Island'  [predicted:  GetWeather ; correct:  BookRestaurant ]
b'find Racing the Beam: The Atari Video Computer System'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'Put Mike McCready in the kitchen swagger playlist.'  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
b'find Try Me Out for me'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'Find Resurrection of Evil.'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'Find The Photographic Journal.'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b"Play Donny Tourette's Push The Button"  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
b"Add Cary Brothers to rock the 2000's playlist"  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
b'find The Broken'  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
b'Show The Blackberry Bush show'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'rate Until I Find You four points'  [predicted:  PlayMusic ; correct:  RateBook ]
b'Is there an expected blizzard in Brook, Tennessee today?'  [predicted:  PlayMusic ; correct:  GetWeather ]
b'rate The Odd Angry Shot five points'  [predicted:  PlayMusic ; correct:  RateBook ]
b'Add Ch\xc3\xa9r to the Still Got the Blues playlist'  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
b'book a Kuwait place at seven am at The Middle East'  [predicted:  SearchScreeningEvent ; correct:  BookRestaurant ]
b'When will WI be temperate?'  [predicted:  PlayMusic ; correct:  GetWeather ]
b'Play the Food Uncut soundtrack'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'find Phinally Phamous'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'play The Case of the Whitechapel Vampire TV series'  [predicted:  RateBook ; correct:  SearchCreativeWork ]
b'Add bilal to winter'  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
b'I want watch The Sun And The Moon'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'I rate Mosses from an Old Manse a 0'  [predicted:  PlayMusic ; correct:  RateBook ]
b'Search for Appalachian Journey'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'Find Fish Story'  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
b'Rate Soul Music a 0.'  [predicted:  PlayMusic ; correct:  RateBook ]
b'Show me Born in America?'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'play saga The Yellow Rose of Texas'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'please add george nooks to my electronow playlist'  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
b'Rate A Voyage to Arcturus a 2.'  [predicted:  PlayMusic ; correct:  RateBook ]
b'Show Olympia 81 saga'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'Add I Messed Up to Hit Rewind'  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
b'Add christopher lawrence to my Always Pop Punk playlist.'  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
b'Find UNDER NIGHT IN-BIRTH'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'rate The Sail and Steam Navy List 5 stars'  [predicted:  PlayMusic ; correct:  RateBook ]
b'put Ik Tara onto pure seduction playlist'  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
b'Add live around the world to crossroad blues'  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
b'Search for High Chicago'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'add artist brenda k starr to frescura indie'  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
b'I want a photograph of Elizabeth the Queen'  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
b'Find The Path to Power.'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'How much rainfall is there faraway from Douglass?'  [predicted:  PlayMusic ; correct:  GetWeather ]
b'Where is Nichiren to M\xc5\x8dko Daish\xc5\xabrai playing'  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
b'add bonobo to queen playlis'  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
b'Find the Via Dolorosa: Songs of Redemption saga'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'Add De Principii Evangelikum to my Domingo Indie palylist'  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
b"I'd like to see weather conditions for Ennis."  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
b'Do you know of a song by the Mande Studies Association?'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'give Jackass Investing a three'  [predicted:  PlayMusic ; correct:  RateBook ]
b'add peter banks to verano forever list'  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
b'add No Secrets to power gaming playlist'  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
b'Add crying, waiting, hoping to my weekly buzz playlist.'  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
b'Show me the movie Black Summer'  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
b'When is Watchman Vadivel playing?'  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
b"Add some patrick stump to maritza's disco fever list"  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
b'find A man needs a maid'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'Book a bistro in New Zealand in 119 and a half days.'  [predicted:  GetWeather ; correct:  BookRestaurant ]
b'find Word of Mouth for me'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'Include love love love in the Dinner Music playlist.'  [predicted:  SearchScreeningEvent ; correct:  AddToPlaylist ]
b'find Outback Bound, a trailer'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'Book Coney Island neighboring VA for marina and I.'  [predicted:  PlayMusic ; correct:  BookRestaurant ]
b'Dragon Age: The Stolen Throne gets 1 points'  [predicted:  PlayMusic ; correct:  RateBook ]
b'Is The Matinee Idol 06:30 cinema sold out?'  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
b'Rate The Hollow Man 5 points'  [predicted:  PlayMusic ; correct:  RateBook ]
b'Play eighties'  [predicted:  BookRestaurant ; correct:  PlayMusic ]
b'how much rain are we getting in current position'  [predicted:  PlayMusic ; correct:  GetWeather ]
b'Show the Mickey Mouse photograph'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'find the movie Shake Your Spirit'  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
b'show creative book named Pencil Thin Mustache'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'add sweets edison to relaxing playlist'  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
b'Is rainfall forecast for Flying Hills?'  [predicted:  PlayMusic ; correct:  GetWeather ]
b'Find Games Wizards Play TV series'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'find The Covered Wagon, a game'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'add kansas city, missouri to Stress Relief'  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
b'Rate Deception a one'  [predicted:  PlayMusic ; correct:  RateBook ]
b'Play the Seamus Heaney Collected Poems song'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'What is Marty Stuart discography'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'Add Blue Feather to the Nature Noise playlist'  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
b'Find The Transformers: Generations video game'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'find The Valentyne Suite'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'When is Brick showing'  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
b"add Runaljod gap var Ginnunga to ashlee's playlist titled forever country"  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
b'Find WxHexEditor.'  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
b'add Dying Mapa I to M\xc3\xa1s Que Amigos'  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
b'Play Praise The Lord And Pass The Ammunition.'  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
b'Rate Hocus Bogus a 4.'  [predicted:  PlayMusic ; correct:  RateBook ]
b'Weather in Park Layne'  [predicted:  PlayMusic ; correct:  GetWeather ]
b'Looking for novel Build Engine'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'Find The Cerebellum book'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'I want to see Plague Soundscapes'  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
b'Book the Union Oyster House in Guanica Puerto Rico.'  [predicted:  PlayMusic ; correct:  BookRestaurant ]
b'find a Consolidated Theatres showing The Good Old Naughty Days'  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
b'Find GoodReader.'  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
b'Put something by Noah Wuv Bernardo on my Humor playlist'  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
b'What is the release date for the DVD called Wild Is the Wind?'  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
b'Bring up the book Perfume: The Story of a Murderer'  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
b'Give The Street five points.'  [predicted:  PlayMusic ; correct:  RateBook ]
b'Add Born Free to Fresh R&B'  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
b'warmer condition in Haiti, South Otselic'  [predicted:  PlayMusic ; correct:  GetWeather ]
b'Play Party Through The Decades on Deezer'  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
b'find Set the Thames on Fire for seventeen'  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
b'Rate The Hundred Brothers two stars.'  [predicted:  PlayMusic ; correct:  RateBook ]
b'What is the cheapest online price for the Instincts saga?'  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
b'give 0 to The Sky Village'  [predicted:  PlayMusic ; correct:  RateBook ]
b'Find The Creeper.'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'Give Joe Magarac and His USA Citizen Papers 5 points'  [predicted:  PlayMusic ; correct:  RateBook ]
b'Show The Collectors video game'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b"Add Nightmares That Surface from Shallow Sleep to michael's Rock Solid playlist"  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
b'put Pause on my D\xc3\xadas de Fr\xc3\xado playlist'  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
b"book at Beardslee Castle in Fairview Lanes for fifteen o'clock"  [predicted:  GetWeather ; correct:  BookRestaurant ]
b'show weather while Sunset in the same area in South Carolina'  [predicted:  BookRestaurant ; correct:  GetWeather ]
b'add Koichi Sugiyama to WHM'  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
b'Play The Garden Of Allah  from Wade Mainer'  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
b'Weather for Marshall'  [predicted:  PlayMusic ; correct:  GetWeather ]
b'The book Dying, In Other Words deserves at least five points on a 6 point scale.'  [predicted:  PlayMusic ; correct:  RateBook ]
b'Find The Mary Van Note Show'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'find War & Peace Vol. 1'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'When is Fine, Totally Fine playing?'  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
b'Add i dreamt of a dragon to my Futuros Hits playlist.'  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
b'Find Family Feud novel'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b"I'm looking for local movie schedules."  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
b"add 157 Riverside Avenue to leticia's animal humor playlist"  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
b'Add geminism to power workout list'  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
b'Add Geschwisterliebe to my string theory playlist.'  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
b'Rate A Pelican at Blandings a 2'  [predicted:  PlayMusic ; correct:  RateBook ]
b'Get me information on The Riverfront Times'  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
b'is Maalaea has chillier weather'  [predicted:  PlayMusic ; correct:  GetWeather ]
b'Add Jermaine Fagan to spring music'  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
b'Rate The Making of a Teacher a two'  [predicted:  SearchCreativeWork ; correct:  RateBook ]
b"Incorporate a russel walder track onto gay's Funk Rock playlist."  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
b"I'm looking for a movement by Asim Brkan that's on Netflix best channel"  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
b'find Google News'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'rate The Brothers Karamazov a four'  [predicted:  PlayMusic ; correct:  RateBook ]
b'play A Box of Birds trailer'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'where is The Adventure of the Yellow Curl Papers playing'  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
b'show Investigating Sex album'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'find The Flying Ace'  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
b'rate Notable American Women a 3 star'  [predicted:  PlayMusic ; correct:  RateBook ]
b'Season of the Witch: How the Occult Saved Rock and Roll gets five points'  [predicted:  PlayMusic ; correct:  RateBook ]
b'Rate And No More Shall We Part chronicle 4'  [predicted:  PlayMusic ; correct:  RateBook ]
b'find Now and Forever'  [predicted:  RateBook ; correct:  SearchScreeningEvent ]
b'Is it foggy in Phinizy Swamp Nature Park?'  [predicted:  PlayMusic ; correct:  GetWeather ]
b'book in Falkland Islands at Atomic Cafe'  [predicted:  PlayMusic ; correct:  BookRestaurant ]
b'add my hands to travelling playlist'  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
b'add Madchild to Electro Latino'  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
b'Find The Tyrant'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'play pandora'  [predicted:  BookRestaurant ; correct:  PlayMusic ]
b'Find The Madwoman in the Attic.'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'play the Ashley Tisdale discography TV show'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'I rate American History: A Survey a 5'  [predicted:  PlayMusic ; correct:  RateBook ]
b'Add raz b to drive playlist'  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
b'Find Next of Kin'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'Rate The Drowning a 3.'  [predicted:  PlayMusic ; correct:  RateBook ]
b'add doing all right to string theory'  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
b'find a Loews Cineplex with films'  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
b'Add nitti to my family favorites playlist'  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
b'Rate The Stars Shine Down 5'  [predicted:  PlayMusic ; correct:  RateBook ]
b'Rate The Starship Trap 5 stars'  [predicted:  PlayMusic ; correct:  RateBook ]
b'show creative Last Light'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b"I'd like to play the album Beloved Rogues"  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'What time will In the Name of the Son be playing?'  [predicted:  AddToPlaylist ; correct:  SearchScreeningEvent ]
b'Find Once Upon a Time in the West'  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
b'Find the Digital Champ: Battle Boxing'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b"add Olga Souza to virginia's femme fatale playlist"  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
b'Where is Chips in Crouch'  [predicted:  PlayMusic ; correct:  BookRestaurant ]
b'play Live at Leeds'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'Where to see painting Twelve Angry Men'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'Add ramble on to Halloween Teens'  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
b'show Nightcall'  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
b'find Flesh and Bullets'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'Find the movie Girl on the Trapeze'  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
b'Rate Homicide: A Year on the Killing Streets five stars'  [predicted:  PlayMusic ; correct:  RateBook ]
b'Weather in Grey Eagle on Feb. fifteenth, 2034'  [predicted:  PlayMusic ; correct:  GetWeather ]
b'I need a painting called Brubeck Plays Brubeck'  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
b'Play Pride Of The Prairie from Johnny Burke'  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
b'What is Love in a Mist?'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'play Yo Ho from the new york pops on Youtube'  [predicted:  RateBook ; correct:  PlayMusic ]
b'put this Kan Mikami tune on fresh finds cyclone'  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
b'Get Jump Down painting'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
