When can I see Journey to the End of the Night?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play my 70s Smash Hits playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I want to listen to some Aaliyah  [predicted:  GetWeather ; correct:  PlayMusic ]
When and where can I see A Film with Me in It  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Give a rating of 2 to Juneteenth.  [predicted:  BookRestaurant ; correct:  RateBook ]
what time can i see Mojave Phone Booth  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Where will The Blonde from Peking be playing  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Play The Crowd: A Study of the Popular Mind soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play my Jazz Brasileiro playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Play Keep Your Right Up song  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Where and at what time can I see Paragraphe 78  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
what time can i see Girls to Marry  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
find Wild at Heart  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
what theater is showing Trouble in Paradise at 00:45 am  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Whens the next showing of The Game of Their Lives  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Tell me the weather forecast in Greensburg  [predicted:  BookRestaurant ; correct:  GetWeather ]
find 16 starting time for Heavenly Body  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find The Broken  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What is the weather forecast in the country of Chile fifteen hours from now  [predicted:  BookRestaurant ; correct:  GetWeather ]
I am looking for the creative work A Wonderful Life  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
SCORE:  2992 / 3140  ( 0.9528662420382166 )
find Mash Confusion  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Can you play The Wanderer and His Shadow  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Please include danni bassan in my Perfect Concentration  [predicted:  GetWeather ; correct:  AddToPlaylist ]
What song is Detective Conan: Dimensional Sniper  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Please look for Orion You Came and You Took All My Marbles  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Find Show-Ya 20th Anniversary The Best.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
play Print the Legend soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Can you find me the work, Bible translations into Hawaii Pidgin?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Please play my Happy House playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Go to Attack of the Planet Smashers  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
give me some Last Emperor  [predicted:  GetWeather ; correct:  PlayMusic ]
Can you find me Cracks the Safe?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I'm looking to find Suryavanshi.  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
reserve a table at Bear Hotel around Finsbury Park  [predicted:  GetWeather ; correct:  BookRestaurant ]
Let's listen to Matthew Shipp.  [predicted:  GetWeather ; correct:  PlayMusic ]
Play The News Virginian song  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
What are the showtimes for Boy of Mine  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I'd like to eat at The Firehouse Restaurant  [predicted:  GetWeather ; correct:  BookRestaurant ]
Please help me find, Bend It Like Beckham the Musical.  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Where is Journal of Geriatric Psychiatry and Neurology  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I'm looking to find Kiss Me Goodbye.  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
What is the release date for the DVD called Wild Is the Wind?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Find Fragile Frontiers: The Secret History of Mumbai Terror Attacks.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Show me work of Truth and Tolerance  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I'm wondering when I can see Hurry Sundown.  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Play me the song Just to See You Smile.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
can you play some weird music from the noise genre  [predicted:  GetWeather ; correct:  PlayMusic ]
Looking for A Black Ribbon for Deborah.  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
find Sailing The Seas Of Cheese  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Can i see the Encounters?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Find the Digital Champ: Battle Boxing  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Freud: A Life for Our Time deserves a solid 4  [predicted:  BookRestaurant ; correct:  RateBook ]
Show me Rapid City Muscle Car.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Find Make Your Play  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Play music from the list Indie Electronics  [predicted:  GetWeather ; correct:  PlayMusic ]
Live In L.aJoseph Meyer please  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
Can I hear the song Visual Audio Sensory Theater?  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Need a creative work called Hit by Love  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
When is Spyforce playing?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Look for the creative work called White Sugar  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Can you find me, Hey Man?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Please look up and find me Monty Python Live at the Hollywood Bowl.  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Can my electro sur have this song added to it?  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
To johnnie's funtime activity playlist add the name The Best of Guitar Shorty  [predicted:  GetWeather ; correct:  AddToPlaylist ]
I want watch The Sun And The Moon  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
find Switching Channels  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Please search for Switched.  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Find Spirit of the Bush.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
find lesley's epic classical playlist and add this tune  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
Lets hear some booty bass  [predicted:  GetWeather ; correct:  PlayMusic ]
I want to watch Supernatural: The Unseen Powers of Animals  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Please search the work, Eve-Olution.  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Can you find me the work, The Curse of Oak Island?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Looking for a creative work called Plant Ecology  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Play something from the genre muzyka pop  [predicted:  GetWeather ; correct:  PlayMusic ]
When can I go see The Untold Story?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
The Law of Dreams gets a low rating of one  [predicted:  BookRestaurant ; correct:  RateBook ]
I want to listen to the song Only the Greatest  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find Jono and Ben  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I'd like to see Jack  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Find Conker: Live and Reloaded  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Play the song Aura II: The Sacred Rings  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
The Sleep Machine Waterscapes playlist needs some kris chetan ramlu in it.  [predicted:  GetWeather ; correct:  AddToPlaylist ]
I wish to listen to Gonna Get Along Without Ya Now by Ian Curtis.  [predicted:  GetWeather ; correct:  PlayMusic ]
Find THUNDER IN THE EAST.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Find GoodReader.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Can i see the Boat People?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Something by Danielle Polanco in 1986  [predicted:  GetWeather ; correct:  PlayMusic ]
What time does Kraken: Tentacles of the Deep play  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
Find Night of Passion  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Make a reservation for eunice thompson and elisa martin in the Virgin Islands in one minute.  [predicted:  GetWeather ; correct:  BookRestaurant ]
Start blasting my Latin Jazz playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I'd like to see Spyforce  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
What is the price for the album Praise the Lord and Pass the Ammunition?  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Find Z Cars.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
find Saison 7 de Sons of Anarchy  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
does Red e Toby nemiciamici start thirteen hours from now  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Can you pull up My Name Is Brain Brian  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I want to hear music from the genre Ecossaise  [predicted:  GetWeather ; correct:  PlayMusic ]
Can you find me the work, Chet Baker with Fifty Italian Strings?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Play a trailer for Give It All  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
put th Power Gaming playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Find Beavis and Butt-head  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Please look up the work, Bachelor Pad.  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
find The Angry Birds Movie  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Where can I  get Lahore  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Find The 180.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
put a rating on this book of three  [predicted:  BookRestaurant ; correct:  RateBook ]
play The Sea Cabinet  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Need the creative work called The Logic of Scientific Discovery  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
find The Quest of Iranon  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
show me Convicted  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
matt monro newest album add to my chill out music  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Add the entire album into indie español  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
my feelin' good playlist needs some Mai Selim in it.  [predicted:  GetWeather ; correct:  AddToPlaylist ]
I wanna listen to Electroclash  [predicted:  GetWeather ; correct:  PlayMusic ]
Play something from 90s Pop Rock Essentials  [predicted:  GetWeather ; correct:  PlayMusic ]
Show me Half a Life  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I want to World of Warcraft: Tides of Darkness  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I'm looking for the show called The Origin of the Milky Way  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
find Innocent world  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
find Home Fires  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
find Reproductions: Songs of The Human League  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I'm looking for a job in Inversion  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
find Check In  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Play The Last Mile album  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play Keep Their Heads Ringin’  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Contemporary Religious Satanism gets a rating of 3.  [predicted:  BookRestaurant ; correct:  RateBook ]
can you put on Like A Hurricane by Paul Landers  [predicted:  GetWeather ; correct:  PlayMusic ]
I want to watch Manthan  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
show creative work of Through the Back Door  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
find A Pet of the Cairo Zoo  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
play music from the year 1979  [predicted:  GetWeather ; correct:  PlayMusic ]
Show me Interesting Times: The Secret of My Success  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
play the album The Outpost  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Can you get me a reservation at WWE The World around Av U  [predicted:  GetWeather ; correct:  BookRestaurant ]
Can you let me know where I can watch The Nest?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Pull up Mafia: The City of Lost Heaven  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
find NHL on Fox  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I need Journal of Pediatric Oncology Nursing, help me find  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Play Rock This playlist with Badonviller Marsch  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
my timeless love songs playlist should include viderunt omnes  [predicted:  GetWeather ; correct:  AddToPlaylist ]
Looking for the crative work called In my memory  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
my sons and I want to dine at The Water Club in Georgia  [predicted:  GetWeather ; correct:  BookRestaurant ]
Please play my ecstatic playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Please play the genre Rock Strumentale.  [predicted:  GetWeather ; correct:  PlayMusic ]
play the Graduate Faculty Philosophy Journal album  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I feel that Sons and Lovers deserves a rating of 2.  [predicted:  BookRestaurant ; correct:  RateBook ]
where can i watch Wartime Romance in the morning  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Show me The Lord of the Isles  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Find Landing on Water.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Can you please find me Season of Glass?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
