Play the soundtrack for Back to the Future  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Can you help me find the work, The Sperm?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Can you search the work, Curiosity Quest?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Where can I listen to Willy and the Poor Boys  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
find The Terror Within  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play something off my New Boots playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Play song Softly  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Show me work of Truth and Tolerance  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Can you please search Ellington at Newport?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Find me the documentary A Winter of Cyclists  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
put th Power Gaming playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I need a SOUNDTRACK FOR STUDY purposes.  [predicted:  BookRestaurant ; correct:  PlayMusic ]
Play The Crowd: A Study of the Popular Mind soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I need Top Gear 2, please search it for me.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Play music from my relentless playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Please play the genre Rock Strumentale.  [predicted:  GetWeather ; correct:  PlayMusic ]
Play 30 Greatest Hits  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I need to find Best of the West Rides Again  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Can I buy the book Vacation of Petrov and Vasechkin online?  [predicted:  RateBook ; correct:  SearchCreativeWork ]
Show me the work titled The Perfect Gentleman which is a song  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
Need the creative work called The Logic of Scientific Discovery  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
book The Lake House for me and carmella  [predicted:  RateBook ; correct:  BookRestaurant ]
I want to see Breathless  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Acreative work with the title At the Cafe Bohemia  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Can you get me a reservation at WWE The World around Av U  [predicted:  GetWeather ; correct:  BookRestaurant ]
Can you find me the work titled Music for Millions?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Start blasting my Latin Jazz playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Make me a reservation in Colorado at nine am at National Cash Register Building  [predicted:  GetWeather ; correct:  BookRestaurant ]
When is Spyforce playing?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
melba and I want to dine in Barbados next Jun.  [predicted:  GetWeather ; correct:  BookRestaurant ]
find Hear Me Good  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Need to find a creative work with the title Sometimes the Blues Is Just a Passing Bird  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
find information about the album Flipper City  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
Can you find me The Ridiculous 6 book?  [predicted:  RateBook ; correct:  SearchCreativeWork ]
Please fine me, Ties That Bind.  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
What is the cheapest price I can pay for the DVD called The Darkest Cloud?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Where can I find a copy of I Bury the Living?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I want to hear from Pepe Marchena song Delaware  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Put Lo mejor de Radio 3 on in the background  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
book a spot in Netherlands Antilles  [predicted:  GetWeather ; correct:  BookRestaurant ]
Play me the soundtrack Ready  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play Keep Their Heads Ringin’  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Where the Sky Meets the Land time playing  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
book me a restaurant in Aransas Pass in seventeen hours  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Make a reservation for eunice thompson and elisa martin in the Virgin Islands in one minute.  [predicted:  GetWeather ; correct:  BookRestaurant ]
I want to watch The Original Recordings  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I want to hear music from the genre Ecossaise  [predicted:  GetWeather ; correct:  PlayMusic ]
how's the forecast looking for supper time in Dresbach Vanuatu  [predicted:  BookRestaurant ; correct:  GetWeather ]
find On Dress Parade  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What are the weather conditions going to be like in Manhasset, Vermont on Dec. the 6th, 2036?  [predicted:  BookRestaurant ; correct:  GetWeather ]
Wish to hear the album Since I Saw You Last  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
when this evening is Casa Amor: Exclusive for Ladies playing and where  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
find Half a Truth  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Where can I find information on Brats in Battalions?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
What does For All the Wrong Reasons look like  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Can you play The Wanderer and His Shadow  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Where is Chips in Crouch  [predicted:  SearchScreeningEvent ; correct:  BookRestaurant ]
Please look for Catch a Falling Star  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
find start time in 12 seconds for National Bomb  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I need to get seats for me and my ex wife to eat in Egypt.  [predicted:  GetWeather ; correct:  BookRestaurant ]
I want to hear the new Latin Pop Rising list  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
put El Mejor Rock en Español playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Play The Last Mile album  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Please look up for Disney Universe.  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
find Set the Thames on Fire for seventeen  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play The Aviation Cocktail album  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find Careless Love  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Find me the creative work called Guilt by Association Vol. 2  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
play Closer to the Sun album  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Get me Kiss the Crystal Flake  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Can you find me the work titled, A Little Curious?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Play The News Virginian song  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I'd like to hear a track by Theo Keating.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
What will the weather be a nine in Willow River State Park?  [predicted:  BookRestaurant ; correct:  GetWeather ]
Show me the Dresden weather forecast.  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
What is the weather forecast in the country of Chile fifteen hours from now  [predicted:  BookRestaurant ; correct:  GetWeather ]
Please help me find, Bend It Like Beckham the Musical.  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Please fine me Worms Clan Wars.  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
What is the predicted weather on mar. 27 for Farragut State Park?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Where theater is playing The Ranger and the Lady at 10 AM  [predicted:  BookRestaurant ; correct:  SearchScreeningEvent ]
When can I catch a screening of Shivers in Summer?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
SCORE:  2979 / 3140  ( 0.9487261146496815 )
What will the weather be a nine in Willow River State Park?  [predicted:  BookRestaurant ; correct:  GetWeather ]
weather forecast of Lakebay  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
what will the weather be for Hooksett  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
What is the weather looking like for December the eleventh, 2034 in MD  [predicted:  BookRestaurant ; correct:  GetWeather ]
play the album Journeyman  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Book reservations at a restaurant in Olton around supper time  [predicted:  GetWeather ; correct:  BookRestaurant ]
Can i get todays showtimes for Le Flic de Beverly Hills 2?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What will the weathr be in Akin Jamaica?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Play something off Rage Radio  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
What are the weather conditions going to be like in Manhasset, Vermont on Dec. the 6th, 2036?  [predicted:  BookRestaurant ; correct:  GetWeather ]
Can you locate the novel, Ismol Family  [predicted:  RateBook ; correct:  SearchCreativeWork ]
Will it feel nice here or within the same area  [predicted:  BookRestaurant ; correct:  GetWeather ]
Play me an album by Lunchbox  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play music from the list Indie Electronics  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Play my Piano Ballads playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Would like a table right now for leonor mendoza, imogene and lisa sanchez  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
I'd like to hear some trip-hop  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Find a reservation at the Roseland Theater at 10 pm  [predicted:  GetWeather ; correct:  BookRestaurant ]
I need a forecast for Zachary  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
What is the temperate in Beltsville  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
book now in KY at Loveless Cafe  [predicted:  RateBook ; correct:  BookRestaurant ]
Please play my ecstatic playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
play Baby Workout  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play Nightbirds on Nantucket soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play the music Hands Up  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
What's the weather supposed to be like in Elmer City  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Will the weather be okay in Northern Luzon Heroes Hill National Park 4 and a half months from now?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
I'm looking for the hit album, The Politics of Dancing.  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
book spot at Candle Cafe  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Play me the dinner playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Play the Electrochemical and Solid State Letters song  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
play Disney Sing It! – High School Musical 3: Senior Year  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
play The Rest of My Life  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
show weather forcast here at 19  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
What are the timings for Starship Troopers 2?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Will I Think I Do be playing at 7 PM?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Find Secret Command.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Book spot at Fried chicken restaurant in Mauritania  [predicted:  GetWeather ; correct:  BookRestaurant ]
play Myth II: Soulblighter  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play The Lure of the Mask song  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
What's it feel like in North Gulfport  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Start up my Independent Music Monday playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
On may the thirteenth, 2037 what will it be like in Wilderville, Montenegro  [predicted:  BookRestaurant ; correct:  GetWeather ]
Show me when and where I can see Song of Summer  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play music in the genre soundtrack  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
What is forecast in Keyes Summit in New Mexico at 3 pm  [predicted:  BookRestaurant ; correct:  GetWeather ]
Play something from my Songs For You, Not Your Parents playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Repeat the track of music  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Please play me something by New Wave Of American Heavy Metal  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
What will the weather be nineteen seconds from now from the Little Manatee River State Park  [predicted:  PlayMusic ; correct:  GetWeather ]
Play my Still Got the Blues playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Where is the creative work Seven Pillars of Wisdom?  [predicted:  RateBook ; correct:  SearchCreativeWork ]
Can I get The Marine 2 showtimes.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Please get seating at Bouchon in Tonga for jimmie and chasity howard  [predicted:  GetWeather ; correct:  BookRestaurant ]
What is the weather prediction for Acworth, North Korea in six years  [predicted:  BookRestaurant ; correct:  GetWeather ]
Where do i purchase the book, Baby-Sittor?  [predicted:  RateBook ; correct:  SearchCreativeWork ]
Please make a booking at Sonoy in Montague, LA.  [predicted:  GetWeather ; correct:  BookRestaurant ]
play Blind Company  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
need to book a table in Ludden  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Can you check the timings for Super Sweet 16: The Movie?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Is The Butcher Boy playing anywhere at supper time?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Play the music from the playlist Get Lit  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Can I hear the song American High.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
play Another Time  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
when can iw atch Great Balls of Fire! - Vampate di fuoco  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Need a reservation close-by East Hanover.  [predicted:  GetWeather ; correct:  BookRestaurant ]
help me the find the Thug Lordz Trilogy book  [predicted:  RateBook ; correct:  SearchCreativeWork ]
